Model,Sample,Prop,FPR
mixed,1000,0.05,0.0492
mixed,1000,0.15000000000000002,0.0542
mixed,1000,0.25000000000000006,0.0459
mixed,1000,0.35000000000000003,0.0491
mixed,1000,0.45000000000000007,0.0489
mixed,1000,0.5500000000000002,0.0466
mixed,1000,0.6500000000000001,0.0486
mixed,1000,0.7500000000000002,0.0491
mixed,1000,0.8500000000000002,0.0498
mixed,1000,0.9500000000000002,0.0516
