Model,Sample,Prop,FPR
mixed,20,1.0,0.0573
mixed,120,1.0,0.053
mixed,220,1.0,0.0515
mixed,320,1.0,0.0486
mixed,420,1.0,0.0508
mixed,520,1.0,0.0521
mixed,620,1.0,0.0518
mixed,720,1.0,0.0531
mixed,820,1.0,0.0544
mixed,920,1.0,0.0471
mixed,1020,1.0,0.0511
