Model,Sample,Prop,Power
mixed,20,1.0,0.0882
mixed,120,1.0,0.2735
mixed,220,1.0,0.4376
mixed,320,1.0,0.5865
mixed,420,1.0,0.7041
mixed,520,1.0,0.7914
mixed,620,1.0,0.8548
mixed,720,1.0,0.9048
mixed,820,1.0,0.9364
mixed,920,1.0,0.9622
mixed,1020,1.0,0.971
